epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.05337051674723625,9.999999747378752e-05,3.3499979972839355,0.0926923081278801,3.0994315147399902
1,0.18857581913471222,9.999999747378752e-05,2.8080661296844482,0.2469230741262436,2.8152644634246826
2,0.37167036533355713,9.999999747378752e-05,2.184295892715454,0.48038461804389954,1.5796191692352295
3,0.4489854872226715,9.999999747378752e-05,1.9369263648986816,0.7153846025466919,1.025407314300537
4,0.49225887656211853,9.999999747378752e-05,1.8114262819290161,0.7115384340286255,0.9549105167388916
5,0.5036061406135559,9.999999747378752e-05,1.7687084674835205,0.8534615635871887,0.5150367021560669
6,0.515434205532074,9.999999747378752e-05,1.7360490560531616,0.9242307543754578,0.35129648447036743
7,0.5171651244163513,9.999999747378752e-05,1.71687912940979,0.930384635925293,0.2778843939304352
8,0.521877110004425,9.999999747378752e-05,1.699390172958374,0.9496153593063354,0.1964842975139618
9,0.5232234001159668,9.999999747378752e-05,1.6851696968078613,0.9538461565971375,0.19559802114963531
10,0.5277430415153503,9.999999747378752e-05,1.6725499629974365,0.9742307662963867,0.11983546614646912
11,0.5302432775497437,9.999999747378752e-05,1.6593903303146362,0.9850000143051147,0.09598171710968018
12,0.5233195424079895,9.999999747378752e-05,1.6702494621276855,0.9953846335411072,0.05701781064271927
13,0.5291854739189148,9.999999747378752e-05,1.656640887260437,0.9461538195610046,0.29682713747024536
14,0.5253389477729797,9.999999747378752e-05,1.6538347005844116,0.9626923203468323,0.18571589887142181
15,0.5281277298927307,9.999999747378752e-05,1.6534289121627808,0.9796153903007507,0.10220548510551453
16,0.528608500957489,9.999999747378752e-05,1.6431235074996948,0.9719230532646179,0.10896432399749756
17,0.5307241082191467,9.999999747378752e-05,1.6339728832244873,0.9823076725006104,0.10723001509904861
18,0.5281277298927307,9.999999747378752e-05,1.635804295539856,0.9919230937957764,0.059167150408029556
19,0.5291854739189148,9.999999747378752e-05,1.634230136871338,0.9950000047683716,0.046112414449453354
