epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3726319968700409,0.0010000000474974513,2.1540751457214355,0.5946153998374939,1.1462035179138184
1,0.6337147951126099,0.0010000000474974513,1.1168292760849,0.7719230651855469,0.6167497634887695
2,0.7150687575340271,0.0010000000474974513,0.8663783669471741,0.8646153807640076,0.4574872851371765
3,0.7497836351394653,0.0010000000474974513,0.7685410380363464,0.8473076820373535,0.4105914235115051
4,0.7685354351997375,0.0010000000474974513,0.6971272230148315,0.8153846263885498,0.4823184907436371
5,0.777959406375885,0.0010000000474974513,0.6692319512367249,0.8646153807640076,0.4035942256450653
6,0.7901721596717834,0.0010000000474974513,0.6307122707366943,0.8673076629638672,0.34984853863716125
7,0.7898836135864258,0.0010000000474974513,0.6194612383842468,0.8446153998374939,0.40774187445640564
8,0.7982498407363892,0.0010000000474974513,0.6137852072715759,0.8676922917366028,0.3783601224422455
9,0.8006539344787598,0.0010000000474974513,0.5933145880699158,0.8634615540504456,0.3720722496509552
10,0.8084431290626526,0.0010000000474974513,0.5661718845367432,0.8338461518287659,0.42310506105422974
11,0.8150783777236938,0.0010000000474974513,0.5503388047218323,0.8903846144676208,0.289385586977005
12,0.8102701902389526,0.0010000000474974513,0.5656964778900146,0.8653846383094788,0.35674306750297546
13,0.8161361813545227,0.0010000000474974513,0.549247145652771,0.8476923108100891,0.3808373510837555
14,0.8229637742042542,0.0010000000474974513,0.534943163394928,0.8526923060417175,0.3703506588935852
15,0.8256562948226929,0.0010000000474974513,0.5257193446159363,0.8553845882415771,0.3929010331630707
16,0.8315222859382629,0.0010000000474974513,0.5070114135742188,0.8546153903007507,0.368539959192276
17,0.8435426354408264,0.0005000000237487257,0.4693177342414856,0.8650000095367432,0.34164488315582275
18,0.8424848318099976,0.0005000000237487257,0.4673381745815277,0.9192307591438293,0.2561449408531189
19,0.8464275598526001,0.0005000000237487257,0.45940133929252625,0.8711538314819336,0.3489735424518585
20,0.8495047688484192,0.0005000000237487257,0.45623305439949036,0.8765384554862976,0.3170843720436096
21,0.8512356877326965,0.0005000000237487257,0.44420257210731506,0.8776922821998596,0.29295796155929565
22,0.8482546210289001,0.0005000000237487257,0.453344464302063,0.8615384697914124,0.3563385009765625
23,0.8646985292434692,0.0005000000237487257,0.41772007942199707,0.8842307925224304,0.284570574760437
24,0.8578709363937378,0.0002500000118743628,0.41672125458717346,0.8907692432403564,0.28099459409713745
25,0.8623906373977661,0.0002500000118743628,0.4205443561077118,0.88692307472229,0.29093343019485474
26,0.8642176985740662,0.0002500000118743628,0.41180726885795593,0.8634615540504456,0.3370872735977173
27,0.8584479093551636,0.0002500000118743628,0.4154881238937378,0.9019230604171753,0.2547503411769867
28,0.8680642247200012,0.0002500000118743628,0.4006436765193939,0.891153872013092,0.2956027090549469
